Perf.,Cost,Query,Type
33524,1722075,70,ONLINE/THETA-0.0
22404,1339572,71,ONLINE/THETA-0.0
13527,461205,73,ONLINE/THETA-0.0
36134,2591835,74,ONLINE/THETA-0.0
60256,3933416,75,ONLINE/THETA-0.0
16456,1045659,76,ONLINE/THETA-0.0
28026,2345157,77,ONLINE/THETA-0.0
50352,4623236,78,ONLINE/THETA-0.0
19644,833148,79,ONLINE/THETA-0.0
35781,2409697,80,ONLINE/THETA-0.0
14510,712446,81,ONLINE/THETA-0.0
7795,303627,82,ONLINE/THETA-0.0
13546,918655,83,ONLINE/THETA-0.0
8705,183656,84,ONLINE/THETA-0.0
14960,667311,85,ONLINE/THETA-0.0
7373,274737,86,ONLINE/THETA-0.0
17729,1253839,87,ONLINE/THETA-0.0
16383,632697,89,ONLINE/THETA-0.0
13607,268091,91,ONLINE/THETA-0.0
9463,444640,92,ONLINE/THETA-0.0
18886,625834,93,ONLINE/THETA-0.0
16869,872126,94,ONLINE/THETA-0.0
11367,225979,96,ONLINE/THETA-0.0
15333,986585,97,ONLINE/THETA-0.0
20287,956960,98,ONLINE/THETA-0.0
23646,325495,99,ONLINE/THETA-0.0
149263,8106851,14b,ONLINE/THETA-0.0
20291,972705,15,ONLINE/THETA-0.0
21639,1103608,16,ONLINE/THETA-0.0
37403,2196456,17,ONLINE/THETA-0.0
23638,1143725,18,ONLINE/THETA-0.0
15206,591487,19,ONLINE/THETA-0.0
18087,1227586,20,ONLINE/THETA-0.0
7912,97657,21,ONLINE/THETA-0.0
8812,215359,22,ONLINE/THETA-0.0
68332,4706232,23a,ONLINE/THETA-0.0
88404,6889499,23b,ONLINE/THETA-0.0
27165,820188,24a,ONLINE/THETA-0.0
29277,967726,24b,ONLINE/THETA-0.0
26503,1639372,25,ONLINE/THETA-0.0
19056,890697,26,ONLINE/THETA-0.0
16000,573802,27,ONLINE/THETA-0.0
16977,1404719,28,ONLINE/THETA-0.0
25707,1448734,29,ONLINE/THETA-0.0
15874,631920,30,ONLINE/THETA-0.0
51677,1744850,31,ONLINE/THETA-0.0
12260,763585,32,ONLINE/THETA-0.0
17097,1287520,33,ONLINE/THETA-0.0
12947,425069,34,ONLINE/THETA-0.0
