,optimum,Availability,dataset,theta
159,35,0-shot,sqlstorm,0.0
160,0,0-shot,sqlstorm,0.0
161,0,0-shot,sqlstorm,0.0
162,0,0-shot,sqlstorm,0.0
163,0,0-shot,sqlstorm,0.0
164,0,0-shot,sqlstorm,0.0
165,0,0-shot,sqlstorm,0.0
166,14,0-shot,sqlstorm,0.0
167,53,0-shot,sqlstorm,0.0
168,0,0-shot,sqlstorm,0.0
169,0,0-shot,sqlstorm,0.0
170,0,0-shot,sqlstorm,0.0
171,14,0-shot,sqlstorm,0.0
172,0,0-shot,sqlstorm,0.0
173,34,0-shot,sqlstorm,0.0
174,0,0-shot,sqlstorm,0.0
175,0,0-shot,sqlstorm,0.0
176,0,0-shot,sqlstorm,0.0
177,53,0-shot,sqlstorm,0.0
178,13,0-shot,sqlstorm,0.0
179,8,0-shot,sqlstorm,0.0
180,8,0-shot,sqlstorm,0.0
181,0,0-shot,sqlstorm,0.0
182,0,0-shot,sqlstorm,0.0
183,53,0-shot,sqlstorm,0.0
184,53,0-shot,sqlstorm,0.0
185,0,0-shot,sqlstorm,0.0
186,25,0-shot,sqlstorm,0.0
187,6,0-shot,sqlstorm,0.0
188,34,0-shot,sqlstorm,0.0
189,2,0-shot,sqlstorm,0.0
190,2,0-shot,sqlstorm,0.0
191,41,0-shot,sqlstorm,0.0
192,1,0-shot,sqlstorm,0.0
193,0,0-shot,sqlstorm,0.0
194,8,0-shot,sqlstorm,0.0
195,8,0-shot,sqlstorm,0.0
196,53,0-shot,sqlstorm,0.0
197,0,0-shot,sqlstorm,0.0
198,8,0-shot,sqlstorm,0.0
199,53,0-shot,sqlstorm,0.0
200,35,0-shot,sqlstorm,0.0
201,34,0-shot,sqlstorm,0.0
202,0,0-shot,sqlstorm,0.0
203,8,0-shot,sqlstorm,0.0
204,0,0-shot,sqlstorm,0.0
205,53,0-shot,sqlstorm,0.0
206,25,0-shot,sqlstorm,0.0
207,35,0-shot,sqlstorm,0.0
208,0,0-shot,sqlstorm,0.0
209,8,0-shot,sqlstorm,0.0
210,0,0-shot,sqlstorm,0.0
211,2,0-shot,sqlstorm,0.0
212,53,0-shot,sqlstorm,0.0
213,42,0-shot,sqlstorm,0.0
214,36,0-shot,sqlstorm,0.0
215,35,0-shot,sqlstorm,0.0
216,36,0-shot,sqlstorm,0.0
217,0,0-shot,sqlstorm,0.0
218,8,0-shot,sqlstorm,0.0
219,53,0-shot,sqlstorm,0.0
220,53,0-shot,sqlstorm,0.0
221,35,0-shot,sqlstorm,0.0
222,33,0-shot,sqlstorm,0.0
223,0,0-shot,sqlstorm,0.0
224,35,0-shot,sqlstorm,0.0
225,0,0-shot,sqlstorm,0.0
226,35,0-shot,sqlstorm,0.0
227,35,0-shot,sqlstorm,0.0
228,0,0-shot,sqlstorm,0.0
229,0,0-shot,sqlstorm,0.0
230,8,0-shot,sqlstorm,0.0
231,8,0-shot,sqlstorm,0.0
232,0,0-shot,sqlstorm,0.0
233,0,0-shot,sqlstorm,0.0
234,53,0-shot,sqlstorm,0.0
235,8,0-shot,sqlstorm,0.0
236,35,0-shot,sqlstorm,0.0
237,8,0-shot,sqlstorm,0.0
238,0,0-shot,sqlstorm,0.0
239,53,0-shot,sqlstorm,0.0
