Perf.,Cost,Query,Type
10130,415801,1282,ONLINE/THETA-0.0
85196,2962833,1296,ONLINE/THETA-0.0
5746,170614,1501,ONLINE/THETA-0.0
7001,239252,1517,ONLINE/THETA-0.0
12006,648146,1645,ONLINE/THETA-0.0
8562,448839,1650,ONLINE/THETA-0.0
21278,1004030,2026,ONLINE/THETA-0.0
27844,849657,2107,ONLINE/THETA-0.0
10520,473015,2057,ONLINE/THETA-0.0
3405,86030,2103,ONLINE/THETA-0.0
16666,513934,2112,ONLINE/THETA-0.0
34191,974671,2179,ONLINE/THETA-0.0
34650,767868,3020,ONLINE/THETA-0.0
31192,1747789,3046,ONLINE/THETA-0.0
176050,1319192,3053,ONLINE/THETA-0.0
5168,152006,3066,ONLINE/THETA-0.0
7826,267960,3100,ONLINE/THETA-0.0
95422,3737478,3158,ONLINE/THETA-0.0
26756,1058435,3177,ONLINE/THETA-0.0
27611,519538,3196,ONLINE/THETA-0.0
37254,246420,3201,ONLINE/THETA-0.0
9791,447058,3279,ONLINE/THETA-0.0
21476,1233364,3349,ONLINE/THETA-0.0
46063,648390,3383,ONLINE/THETA-0.0
9866,337017,3384,ONLINE/THETA-0.0
16565,519424,3387,ONLINE/THETA-0.0
20658,933107,3407,ONLINE/THETA-0.0
6384,180153,4667,ONLINE/THETA-0.0
951,0,5165,ONLINE/THETA-0.0
7389,252870,5222,ONLINE/THETA-0.0
1702,0,5520,ONLINE/THETA-0.0
19835,744013,7618,ONLINE/THETA-0.0
14632,580959,9055,ONLINE/THETA-0.0
11808,446313,9635,ONLINE/THETA-0.0
15925,321345,10053,ONLINE/THETA-0.0
22698,607599,10152,ONLINE/THETA-0.0
23963,684302,10182,ONLINE/THETA-0.0
26234,762590,10371,ONLINE/THETA-0.0
27958,841394,11037,ONLINE/THETA-0.0
23790,655011,11062,ONLINE/THETA-0.0
424,0,11842,ONLINE/THETA-0.0
22880,651436,11896,ONLINE/THETA-0.0
27470,812223,12302,ONLINE/THETA-0.0
3095,49758,12363,ONLINE/THETA-0.0
23275,631730,13154,ONLINE/THETA-0.0
6444,235538,13206,ONLINE/THETA-0.0
12554,413234,13218,ONLINE/THETA-0.0
26063,806356,13768,ONLINE/THETA-0.0
23181,623772,14206,ONLINE/THETA-0.0
10531,386218,14658,ONLINE/THETA-0.0
22575,646780,14757,ONLINE/THETA-0.0
21449,601281,16000,ONLINE/THETA-0.0
19088,382986,20676,ONLINE/THETA-0.0
21803,1421118,22052,ONLINE/THETA-0.0
7089,204400,22740,ONLINE/THETA-0.0
20299,775257,22931,ONLINE/THETA-0.0
28072,697703,23239,ONLINE/THETA-0.0
3742,18572,25216,ONLINE/THETA-0.0
30366,778225,25456,ONLINE/THETA-0.0
6597,63249,25686,ONLINE/THETA-0.0
12542,403633,25906,ONLINE/THETA-0.0
12667,429483,26209,ONLINE/THETA-0.0
13320,393254,27434,ONLINE/THETA-0.0
15172,348156,27479,ONLINE/THETA-0.0
5665,136540,27657,ONLINE/THETA-0.0
11578,180215,28943,ONLINE/THETA-0.0
17300,742298,29145,ONLINE/THETA-0.0
6061,144397,29345,ONLINE/THETA-0.0
6708,71220,29509,ONLINE/THETA-0.0
13955,559046,29583,ONLINE/THETA-0.0
33257,864019,25456,ONLINE/THETA-0.0
7471,60653,25686,ONLINE/THETA-0.0
11740,374760,25906,ONLINE/THETA-0.0
